study,endpoint,population,age,category_age,duration,category_duration,men_ratio,category_men_ratio,type_exercise,bsln,bsln_adjusted,category_bsln,N_HIIE,Mean_HIIE,SD_HIIE,N_MICT,Mean_MICT,SD_MICT,HIIE,desired_effect
Grieco 2013,Body Mass,Healthy,22.0,< 30 y,4,< 5 weeks,0.5,< 0.5,Cycling,73.05,25.1,BMI 25 - 30 kg/m²,12,0.5,7.10928969729044,10,-0.5,11.0917987720658,HIIT,decrease
Grieco 2013,Fasting Glucose,Healthy,22.0,< 30 y,4,< 5 weeks,0.5,< 0.5,Cycling,4.8,4.8,< 5.6 mmol/L,12,-0.2,0.291547594742265,10,0,0.264575131106459,HIIT,decrease
Grieco 2013,Fasting Insulin,Healthy,22.0,< 30 y,4,< 5 weeks,0.5,< 0.5,Cycling,29.3,29.3,< 40 pmol/L,12,5.2,13.9596561562239,10,19.1,57.8444033593571,HIIT,decrease
Grieco 2013,HDL,Healthy,22.0,< 30 y,4,< 5 weeks,0.5,< 0.5,Cycling,1.45,1.45,> 1.3 mmol/L,12,-0.1,0.273861278752583,10,0,0.167332005306815,HIIT,increase
Grieco 2013,HOMA-IR,Healthy,22.0,< 30 y,4,< 5 weeks,0.5,< 0.5,Cycling,0.895,0.895,< 3,12,0.13,0.46,10,0.53,1.75035996297904,HIIT,decrease
Grieco 2013,Total Cholesterol,Healthy,22.0,< 30 y,4,< 5 weeks,0.5,< 0.5,Cycling,4.2,4.2,< 5.2 mmol/L,12,-0.3,0.438178046004133,10,0.1,0.428952211790544,HIIT,decrease
Grieco 2013,VO2max,Healthy,22.0,< 30 y,4,< 5 weeks,0.5,< 0.5,Cycling,39.15,23.3744759950028,< 30%,12,5.7,5.58462174189085,10,2.2,6.00599700299626,HIIT,increase
Helgerud 2007,Body Mass,Healthy,24.6,< 30 y,8,5 - 10 weeks,1,> 0.5,Running,83.2333333333333,24.55,BMI < 25 kg/m²,10,-1.5,6.89359122663942,10,-2.3,4.79562300436554,HIIT,decrease
Helgerud 2007,Body Mass,Healthy,24.6,< 30 y,8,5 - 10 weeks,1,> 0.5,Running,83.2333333333333,24.55,BMI < 25 kg/m²,10,-0.799999999999997,5.66895052015803,10,-2.3,4.79562300436554,SIT,decrease
Helgerud 2007,HDL,Healthy,24.6,< 30 y,8,5 - 10 weeks,1,> 0.5,Running,1.25,1.25,< 1.3 mmol/L,10,-0.06,0.184797186125763,10,0.05,0.1236122971229,HIIT,increase
Helgerud 2007,LDL,Healthy,24.6,< 30 y,8,5 - 10 weeks,1,> 0.5,Running,2.85,2.85,< 3 mmol/L,10,0.0,0.28,10,-0.0899999999999999,0.500449797682046,HIIT,decrease
Helgerud 2007,Total Cholesterol,Healthy,24.6,< 30 y,8,5 - 10 weeks,1,> 0.5,Running,3.248,3.248,< 5.2 mmol/L,10,0.15,0.488931078987622,10,0.132,0.562777398266846,HIIT,decrease
Helgerud 2007,Triglycerides,Healthy,24.6,< 30 y,8,5 - 10 weeks,1,> 0.5,Running,0.99,0.99,< 1.7 mmol/L,10,-0.1,0.333301665162357,10,-0.14,0.303578655376164,HIIT,decrease
Helgerud 2007,VO2max,Healthy,24.6,< 30 y,8,5 - 10 weeks,1,> 0.5,Running,57.2666666666667,95.7148254209896,> 60%,10,4.9,4.02690948495245,10,1,3.54457331705806,HIIT,increase
Helgerud 2007,VO2max,Healthy,24.6,< 30 y,8,5 - 10 weeks,1,> 0.5,Running,57.2666666666667,95.7148254209896,> 60%,10,3.90000000000001,2.85096474899288,10,1,3.54457331705806,SIT,increase
Henriksson 1976,VO2max,Healthy,24.0,< 30 y,7.5,5 - 10 weeks,1,> 0.5,Cycling,46.98,66.3656810599858,> 60%,4,1.73,6.67184382311217,5,5.38,6.20748580344732,HIIT,increase
Honkala 2017 (Healthy),BMI,Healthy,47.5,30 - 50 y,2,< 5 weeks,1,> 0.5,Cycling,26.15,26.15,BMI 25 - 30 kg/m²,14,-0.199999999999999,1.35436081726307,14,0,1.35436081726307,SIT,decrease
Honkala 2017 (Healthy),Body Fat,Healthy,47.5,30 - 50 y,2,< 5 weeks,1,> 0.5,Cycling,22.55,26.15,BMI 25 - 30 kg/m²,14,-1.0,2.32414308562557,14,-0.799999999999997,2.32414308562557,SIT,decrease
Honkala 2017 (Healthy),Body Mass,Healthy,47.5,30 - 50 y,2,< 5 weeks,1,> 0.5,Cycling,83.6,26.15,BMI 25 - 30 kg/m²,14,-0.5,5.4071900359452,14,0,5.4071900359452,SIT,decrease
Honkala 2017 (Healthy),Diastolic Blood Pressure,Healthy,47.5,30 - 50 y,2,< 5 weeks,1,> 0.5,Cycling,79.0,79.0,< 80 mmHg,14,0.0,3.1935638871749,14,1,2.84588949260274,SIT,decrease
Honkala 2017 (Healthy),Fasting Glucose,Healthy,47.5,30 - 50 y,2,< 5 weeks,1,> 0.5,Cycling,5.45,5.45,< 5.6 mmol/L,14,0.4,0.365355925742407,14,0.2,0.379451932347032,SIT,decrease
Honkala 2017 (Healthy),Fasting Insulin,Healthy,47.5,30 - 50 y,2,< 5 weeks,1,> 0.5,Cycling,32.6415,32.6415,< 40 pmol/L,14,1.0,1.94083110351544,14,1.3,1.89982713031235,SIT,decrease
Honkala 2017 (Healthy),HbA1c,Healthy,47.5,30 - 50 y,2,< 5 weeks,1,> 0.5,Cycling,37.05,37.05,< 40 mmol/mol,14,-1.3,2.69150206685698,14,-3.2,2.39673787661667,SIT,decrease
