endpoint,population,category_age,duration,category_duration,men_ratio,category_men_ratio,type_exercise,Mean_HIIE,Mean_MICT
HDL,Overweight/obese,30 - 50 y,12,> 10 weeks,0.44444444,< 0.5,Running,-2,-2
HOMA-IR,Overweight/obese,30 - 50 y,12,> 10 weeks,0.44444444,< 0.5,Running,0.01646841,-0.1339599
HOMA-IR,Overweight/obese,30 - 50 y,12,> 10 weeks,0.44444444,< 0.5,Running,-0.0215641,-0.1339599
Systolic Blood Pressure,Overweight/obese,30 - 50 y,12,> 10 weeks,0.44444444,< 0.5,Running,-2.9,-5.2
Systolic Blood Pressure,Overweight/obese,30 - 50 y,12,> 10 weeks,0.44444444,< 0.5,Running,-6.5,-5.2
Total Cholesterol,Overweight/obese,30 - 50 y,12,> 10 weeks,0.44444444,< 0.5,Running,-1,-16
Total Cholesterol,Overweight/obese,30 - 50 y,12,> 10 weeks,0.44444444,< 0.5,Running,-7,-16
Triglycerides,Overweight/obese,30 - 50 y,12,> 10 weeks,0.44444444,< 0.5,Running,-1,-6
Triglycerides,Overweight/obese,30 - 50 y,12,> 10 weeks,0.44444444,< 0.5,Running,8,-6
VO2max,Overweight/obese,30 - 50 y,12,> 10 weeks,0.44444444,< 0.5,Running,1.4,-1.3
VO2max,Overweight/obese,30 - 50 y,12,> 10 weeks,0.44444444,< 0.5,Running,0.2,-1.3
Body Fat,Healthy,< 30 y,6,5 - 10 weeks,0.6,> 0.5,Cycling,-1.8,-1.1
Body Mass,Healthy,< 30 y,6,5 - 10 weeks,0.6,> 0.5,Cycling,-1.1,-0.3
VO2max,Healthy,< 30 y,6,5 - 10 weeks,0.6,> 0.5,Cycling,5.4,5.5
BMI,Cardiac Rehabilitation,> 50 y,12,> 10 weeks,0.82380952,> 0.5,Running,0.1,0
C-reactive Protein,Cardiac Rehabilitation,> 50 y,12,> 10 weeks,0.82380952,> 0.5,Running,-1.25,-0.13
Fasting Glucose,Cardiac Rehabilitation,> 50 y,12,> 10 weeks,0.82380952,> 0.5,Running,-0.15,0.05
Flow-mediated Dilation,Cardiac Rehabilitation,> 50 y,12,> 10 weeks,0.82380952,> 0.5,Running,3.35,5.1
HbA1c,Cardiac Rehabilitation,> 50 y,12,> 10 weeks,0.82380952,> 0.5,Running,0,-0.1
HDL,Cardiac Rehabilitation,> 50 y,12,> 10 weeks,0.82380952,> 0.5,Running,0.05,0.1
LDL,Cardiac Rehabilitation,> 50 y,12,> 10 weeks,0.82380952,> 0.5,Running,-0.15,-0.1
Total Cholesterol,Cardiac Rehabilitation,> 50 y,12,> 10 weeks,0.82380952,> 0.5,Running,0,0.05
Triglycerides,Cardiac Rehabilitation,> 50 y,12,> 10 weeks,0.82380952,> 0.5,Running,-0.05,0.15
VO2max,Cardiac Rehabilitation,> 50 y,12,> 10 weeks,0.82380952,> 0.5,Running,3.55,1.65
BMI,T2D,> 50 y,16,> 10 weeks,0,< 0.5,Cycling,-0.2,0.2
Body Fat,T2D,> 50 y,16,> 10 weeks,0,< 0.5,Cycling,-1,-1.2
Body Mass,T2D,> 50 y,16,> 10 weeks,0,< 0.5,Cycling,-0.1,0.6
Fasting Glucose,T2D,> 50 y,16,> 10 weeks,0,< 0.5,Cycling,0.3,0.4
HbA1c,T2D,> 50 y,16,> 10 weeks,0,< 0.5,Cycling,-0.1,-0.2
HDL,T2D,> 50 y,16,> 10 weeks,0,< 0.5,Cycling,0.1,0.1
LDL,T2D,> 50 y,16,> 10 weeks,0,< 0.5,Cycling,0.1,-0.2
Total Cholesterol,T2D,> 50 y,16,> 10 weeks,0,< 0.5,Cycling,-0.1,-0.2
Triglycerides,T2D,> 50 y,16,> 10 weeks,0,< 0.5,Cycling,0,-0.1
Body Mass,Overweight/obese,30 - 50 y,12,> 10 weeks,0.5,< 0.5,Cycling,-1.3,-0.8
VO2max,Overweight/obese,30 - 50 y,12,> 10 weeks,0.5,< 0.5,Cycling,2.8,2.9
BMI,Healthy,< 30 y,8,5 - 10 weeks,1,> 0.5,Cycling,0.1,-0.3
Body Fat,Healthy,< 30 y,8,5 - 10 weeks,1,> 0.5,Cycling,-0.2,-1.1
Body Mass,Healthy,< 30 y,8,5 - 10 weeks,1,> 0.5,Cycling,0.2,-0.9
Diastolic Blood Pressure,Healthy,< 30 y,8,5 - 10 weeks,1,> 0.5,Cycling,-6,-3
Systolic Blood Pressure,Healthy,< 30 y,8,5 - 10 weeks,1,> 0.5,Cycling,-3,-2
VO2max,Healthy,< 30 y,8,5 - 10 weeks,1,> 0.5,Cycling,8.6,5.4
Body Fat,Metabolic Syndrome,30 - 50 y,8,5 - 10 weeks,1,> 0.5,Cycling,-0.6,-0.4
Body Mass,Metabolic Syndrome,30 - 50 y,8,5 - 10 weeks,1,> 0.5,Cycling,-0.9,-0.9
Diastolic Blood Pressure,Metabolic Syndrome,30 - 50 y,8,5 - 10 weeks,1,> 0.5,Cycling,-2,1
Fasting Glucose,Metabolic Syndrome,30 - 50 y,8,5 - 10 weeks,1,> 0.5,Cycling,-3,-8
Fasting Insulin,Metabolic Syndrome,30 - 50 y,8,5 - 10 weeks,1,> 0.5,Cycling,-2.6,-2.5
HbA1c,Metabolic Syndrome,30 - 50 y,8,5 - 10 weeks,1,> 0.5,Cycling,-1,-2
HDL,Metabolic Syndrome,30 - 50 y,8,5 - 10 weeks,1,> 0.5,Cycling,3,3
HOMA-IR,Metabolic Syndrome,30 - 50 y,8,5 - 10 weeks,1,> 0.5,Cycling,-1,-1.2
LDL,Metabolic Syndrome,30 - 50 y,8,5 - 10 weeks,1,> 0.5,Cycling,5,0
